country_code,country_name,adm_div_name,adm_div_code,area,pop_gpw,builtup_fraction,builtup_km2_2020,builtup_volume_2020,burned_area_pixels_2020,cloud_fraction_mean,co2_emissions_2020,cropland_area_km2,elevation_mean_m,et_mean_mm_2020,et_total_mm_km2_2020,forest_area_km2,forest_fraction,forest_loss_pixels,gdp_per_capita_2020,gdp_total_2020,ndvi_mean_2020,nightlights_per_km2,nightlights_sum_2020,pm25_annual_2019,pm25_total_2019,pop_ghsl,pop_wp,precip_annual_mm,precip_total_mm_km2,ruggedness_mean,soil_organic_carbon_g_per_kg,temp_annual_mean_C,travel_time_to_city_min,tree_cover_km2_2000,tree_cover_pct_2000,urban_area_km2,urban_fraction,water_area_km2,water_occurrence_pct
VNM,Viet Nam,Kien Giang,VNM033,6212.755462735359,1757883.6603690055,0.0214350203864884,133.17054,448681096.0,7639.0,7681.98820754717,5170123.6123046875,3473.697333106589,10.249765252376983,224.38773096343348,1394066.1013138634,335.65461018709163,0.0540266894778616,963.2352941176472,7004.584905660377,12313245353.32775,4906.601063913067,2.8410596724546893,17650.809,25.150814416273583,156255.85965694694,1661556.4778996482,1752596.0993395422,2001.147931633989,12432642.74400063,7.139084221141512,7.974642680318574,26.99911105033683,51.99345495485571,632.6924584588754,10.18376567778692,63.06858133612952,0.0101514668836429,2112.8267209234273,34.007884804034916
VNM,Viet Nam,Khanh Hoa,VNM032,4704.237752266538,1234617.7930844135,0.015285456387776,71.906421,346793939.0,85.0,6868.72339527027,974004.7652587892,580.1922773073007,376.0357678656076,278.19460356735533,1308693.5565783763,1888.3864184239824,0.4014224020701639,5384.647058823532,8888.054054054053,10973349681.031187,6521.064584464335,5.491716907282761,25834.342,17.15733543602196,80712.18508643497,1184021.1559947175,1263706.9100623466,1220.326844781404,5740707.613324989,159.9420800383571,5.742341558501308,24.7449900072449,120.8431835954612,2531.726623881571,53.81799894492504,83.47196030673936,0.0177439926939326,3945.5162917093303,83.87153242431997
VNM,Viet Nam,Kon Tum,VNM034,9722.695273598236,676505.9716964986,0.0029110551347687,28.303302,113625684.0,528.0,6715.09375,1049930.085006714,358.1089170758203,891.031814680133,277.013640718596,2693319.215336933,5168.081959601856,0.531548281024056,14076.91764705883,5634.2125,3811578402.0570583,6974.41218017466,1.3995006134717896,13606.918,20.09193420410156,195347.75372366497,564071.1361879907,646038.5594675401,2391.3400993199825,23250271.08122433,136.05195256604873,7.171407774205815,21.97355263080872,160.53349081381225,6759.16426751991,69.51944987800113,21.799540461492914,0.0022421293528235,5950.157207906539,61.198639270985474
VNM,Viet Nam,Long An,VNM039,4470.085470125096,1578954.5111476686,0.029965392361111,133.947865,525331131.0,5536.0,7724.0234375,1810520.201171875,2719.9641247149466,2.634060011054079,204.71037435931623,915072.8700074486,5.111112986398845,0.0011434038611919,582.2274509803922,9346.222222222224,14757259739.96637,5209.778713950417,37.18691535339884,166228.69,26.43011474609375,118144.87190025272,1511492.0319316152,1578228.3801010463,1583.6818113227089,7079193.054095035,0.7678227628574417,6.641455787662048,27.55945003255137,41.67855886461227,416.1039933646631,9.308636180350671,128.64065050155742,0.0287781187543954,1368.3297804345762,30.6108191796226
VNM,Viet Nam,Lam Dong,VNM036,9839.924748138126,1437151.6770816282,0.0080447322541748,79.15956,330002421.0,227.0,6846.9858630952385,1420001.363365173,1482.3899069726856,910.9491289114312,277.8656684166216,2734177.267310657,4049.8640785793086,0.411574700237988,7249.505882352941,7588.321428571428,10905568867.305883,6963.511798471556,4.439769725705097,43687.0,16.637746175130207,163714.1703419042,1449497.258858513,1441696.3895536745,1883.026620341918,18528840.242905334,104.69530788671028,6.501115231445769,21.397930292023084,94.63747351022192,6107.018849065245,62.06367432048495,92.0599186298184,0.0093557543361536,5884.720682958138,59.80452933922714
VNM,Viet Nam,Lai Chau,VNM035,9119.900582453494,712183.863072355,0.0008543947304635,7.791995,22815896.0,518.0,7088.382911392405,508437.88719940186,4.91811694836501,1004.1355873001748,262.9002248866899,2397623.9140712777,4782.589170991967,0.524412423989969,2806.5607843137245,5338.0,3801637461.080231,6658.4275882060765,1.463855321590407,13350.215,26.709451023536392,243587.53794656263,443998.00210292946,711796.4105426754,1677.197066850198,15295870.506856414,249.37745203354856,7.3083070499857135,19.819130796282742,216.83584016281736,4060.835432637458,44.527189698212545,3.758600864633742,0.0004121317804566,4037.9060213334633,44.275767973856134
VNM,Viet Nam,Lao Cai,VNM038,6413.23680127085,644726.7920739152,0.002055267162034,13.180915,54205349.0,0.0,7975.819444444444,1511495.8869476318,20.242441354446072,834.3852825677328,239.6754940628564,1537095.6988866837,1785.6496236566811,0.2784318868910058,2018.858823529412,5311.574074074074,3424514113.640754,5576.4398422660415,1.7866014237505616,11457.898,28.52849663628472,182960.00451275284,615375.1191124296,651826.6789352671,1771.4362802039996,11360640.343310632,227.43377308146864,7.298461637903179,19.944285967970163,95.85212739184912,2409.5800496866923,37.571980021215005,13.338393152682182,0.0020798223371448,2814.220281020532,43.88143410614224
VNM,Viet Nam,Lang Son,VNM037,8358.186735823934,770760.6824117176,0.0033416972942572,27.93053,95797425.0,11.0,8155.70777027027,2835244.704284668,33.82710863281864,351.14345539294345,271.25001130653413,2267158.2465943657,2712.139163016283,0.3244889410512704,11387.341176470583,5495.5,4235715330.193594,6433.752342401467,1.7640758056773085,14744.475,25.31678070893159,211602.38071515528,723659.8744507323,763432.0765013009,1458.0545095965604,12186691.862218242,69.66893490267633,5.365702642263051,21.644891472982987,74.83663721894322,4440.654567812918,53.12940124656316,14.533128153358325,0.0017387895978763,4556.867791673336,54.51981315686804
VNM,Viet Nam,Nghe An,VNM041,16574.20962451394,2976725.158723235,0.0102009603975283,169.072856,606246410.0,104.0,7674.35071942446,3614179.6226387024,1756.3042185703987,393.8709961435372,252.4029893988706,4183380.0561508513,7130.83046405452,0.4302365316719373,23428.63137254901,5523.3525179856115,16441502400.7851,6788.456382681445,2.0404544630581007,33818.92,26.47547001461331,438809.98992973415,2965541.7767777005,2959649.341116514,1429.1276045579104,23686660.49812227,123.10026851167687,5.120375117675574,22.836999209466377,154.9486144233935,8951.803657947125,54.010440683138434,342.2620415412459,0.0206502783116141,9929.311254862232,59.908203647770755
VNM,Viet Nam,Ninh Binh,VNM042,1356.5196718091497,890839.8342739025,0.040952062955277,55.552279,201330833.0,0.0,8121.678977272727,4612250.164794922,678.7379297071355,49.13822377899392,221.10595672607644,299934.5798531053,145.07321584643094,0.1069451618441708,291.9686274509804,11466.0,10214369539.784563,4869.676948937831,6.714046385964521,9107.736,34.88897427645597,47327.57993525592,946385.3370361456,905494.8202962786,1777.7935945047905,2411611.983362047,23.639185526204376,3.880290707060588,24.064254879513015,17.26564873007867,193.0933967456226,14.234470812214596,57.84984147043738,0.0426457814602016,643.0230034130514,47.40240903071247
